threshold,coverage,automatic_accuracy,automatic_tickets
0.7225487160235201,0.3279682274247492,0.9974506054811982,1569
0.7230425222133028,0.32608695652173914,0.9974358974358974,1560
0.723657874491364,0.3239966555183946,0.9974193548387097,1550
0.7240646896371795,0.32211538461538464,0.9974042829331603,1541
0.7244813088991207,0.32002508361204013,0.9973873285434357,1531
0.7247218819352343,0.3181438127090301,0.9973718791064389,1522
0.7250641351138983,0.31605351170568563,0.9973544973544973,1512
0.7255306733553794,0.3141722408026756,0.9973386560212908,1503
0.7258430402736904,0.3120819397993311,0.9973208305425318,1493
0.7264969585274629,0.3102006688963211,0.9973045822102425,1484
0.726875304777257,0.3081103678929766,0.9972862957937585,1474
0.7273050519272168,0.30622909698996653,0.9972696245733789,1465
0.7277233578804317,0.3041387959866221,0.9972508591065292,1455
0.7280169798002348,0.30204849498327757,0.9972318339100346,1445
0.7285462471045945,0.3001672240802676,0.9972144846796658,1436
0.7290855130012982,0.2980769230769231,0.9971949509116409,1426
0.7294873667923369,0.296195652173913,0.9971771347918137,1417
0.7298205065093208,0.2941053511705686,0.9971570717839374,1407
0.7302243679302767,0.29222408026755853,0.9971387696709585,1398
0.7308068787218939,0.290133779264214,0.9971181556195965,1388
0.7316096819680764,0.28825250836120403,0.9970993473531544,1379
0.7322213621454376,0.2861622073578595,0.9970781592403214,1369
0.7326300816243543,0.2842809364548495,0.9977941176470588,1360
0.7328883250834709,0.282190635451505,0.9977777777777778,1350
0.7332455600495206,0.280309364548495,0.9977628635346756,1341
0.7339097248261958,0.2782190635451505,0.9977460555972952,1331
0.7343571696412294,0.276128762541806,0.9977289931869796,1321
0.7346785859414897,0.27424749163879597,0.9977134146341463,1312
0.7348353198286137,0.2721571906354515,0.9976958525345622,1302
0.7352721329781153,0.27027591973244147,0.9984532095901005,1293
0.7354380512957831,0.26818561872909696,0.9984411535463756,1283
0.7356781830156307,0.266304347826087,0.9984301412872841,1274
0.7362299965703762,0.26421404682274247,0.9984177215189873,1264
0.7367468640592864,0.2623327759197324,0.998406374501992,1255
0.7371573757540688,0.26024247491638797,0.9983935742971888,1245
0.7373523815724945,0.2583612040133779,0.9991909385113269,1236
0.7377232592191902,0.25627090301003347,0.9991843393148451,1226
0.7379625554723549,0.2543896321070234,0.9991783073130649,1217
0.7382561059195627,0.2522993311036789,0.9991714995857498,1207
0.7385690872847459,0.25020903010033446,0.9991645781119465,1197
0.7388050894345206,0.24832775919732442,0.9991582491582491,1188
0.7390544996085466,0.24623745819397994,0.9991511035653651,1178
0.7393348309494056,0.2443561872909699,0.9991445680068435,1169
0.7397327589973296,0.2422658862876254,0.999137187230371,1159
0.7400665424668939,0.2403846153846154,0.9991304347826087,1150
0.7405343721501547,0.2382943143812709,0.9991228070175439,1140
0.7408568891363525,0.23641304347826086,0.9991158267020336,1131
0.7412317806218944,0.23432274247491638,0.9991079393398751,1121
0.7414810346501126,0.23244147157190637,0.9991007194244604,1112
0.7415986482173147,0.23035117056856189,0.9990925589836661,1102
0.7419567267750928,0.22846989966555184,0.9990850869167429,1093
0.742128951300004,0.22637959866220736,0.9990766389658357,1083
0.7424386309659701,0.2244983277591973,0.9990689013035382,1074
0.7428916947999551,0.22240802675585283,0.9990601503759399,1064
0.74329918254564,0.22031772575250835,0.9990512333965844,1054
0.7435053423207297,0.21843645484949833,0.999043062200957,1045
0.743724440149734,0.21634615384615385,0.9990338164251208,1035
0.743922215006421,0.2144648829431438,0.9990253411306043,1026
0.7442239136167115,0.21237458193979933,0.9990157480314961,1016
0.7445801672977859,0.2104933110367893,0.9990069513406157,1007
0.7447638075575975,0.20840301003344483,0.9989969909729187,997
0.7450452771876499,0.20652173913043478,0.9989878542510121,988
0.7453405503196424,0.2044314381270903,0.9989775051124744,978
0.7455302463444125,0.20255016722408026,0.9989680082559339,969
0.7457344832233271,0.20045986622073578,0.9989572471324296,959
0.7460122908423122,0.19857859531772576,0.9989473684210526,950
0.7462118644525125,0.19648829431438128,0.9989361702127659,940
0.7465941831036413,0.1943979933110368,0.9989247311827957,930
0.7468212830064365,0.19251672240802675,0.998914223669924,921
0.7471592349133868,0.19042642140468227,0.9989023051591658,911
0.7473730047174151,0.18854515050167225,0.9988913525498891,902
